label,c0,c1,c2,c3,c4,c5
0,烙,孚,碚,﨏,珞,﨏
1,儿,尣,儿,尣,尣,民
2,圀,胴,圀,脚,膈,諏
3,鬣,繋,繫,熨,鬃,鬚
4,迮,冘,冘,竺,汯,逡
5,鯥,䰠,趁,缸,缸,魅
6,湏,顥,顯,顯,顒,酣
7,慎,填,槙,瘨,琪,琪
8,芼,穵,芥,芿,苢,跖
9,渮,潴,潢,潴,潸,潸
10,脤,胱,脤,脆,脆,賦
11,絖,縺,轆,總,統,樚
12,持,恃,持,鈐,特,待
13,穖,穖,壜,機,韆,韆
14,彰,釤,釤,衫,衫,叡
15,籗,奮,蕾,𦿸,藝,藿
16,瓠,齅,齅,瓢,舢,艆
17,ぐ,ミ,4,一,ぺ,ハ
18,紘,瞠,紘,墮,墮,踏
19,堙,壜,壃,榼,擅,擡
20,覧,鱉,薷,薷,襀,舅
21,猝,啐,晬,晬,晬,粋
22,騙,㗴,瞤,暇,鷗,鷗
23,鶻,鴲,鵲,鷁,鵝,鶼
24,獏,痰,瘼,癡,痩,漌
25,鴇,鴨,鵾,鴟,鴲,鵈
26,蝮,鱧,鱣,鱣,護,鑊
27,恩,慁,憙,愙,憙,㥯
28,チ,天,ヂ,千,宍,牙
29,棋,纖,鑯,纖,嫰,臟
30,媿,理,㟴,埵,瑰,魂
31,璅,換,瑍,渙,悞,換
32,頲,顦,顧,顯,顱,顫
33,薪,蒲,茀,蒲,莉,萠
34,懕,舜,舜,聟,懕,忿
35,荇,芫,芽,芹,茺,蒜
36,麌,麑,鬟,鬢,鬢,贒
37,蠣,蝘,蝙,螈,編,蜩
38,応,耳,可,兆,応,厄
39,揫,揫,摯,傘,犖,翬
40,か,や,ら,ゼ,も,ぢ
41,改,敗,敗,跋,祓,致
42,淏,礇,溟,澤,漲,渓
43,桷,悝,栃,愑,桶,桶
44,菖,薗,蘑,蘑,蘭,蘭
45,鎤,幌,棏,楹,鎰,縊
46,釛,劼,釛,魴,効,効
47,既,銧,觥,觥,魷,釮
48,擦,撩,擦,惵,煠,襟
49,躯,髃,髁,躱,餜,餜
50,芺,英,芙,英,芺,笶
51,幷,它,㚑,少,凢,凢
52,殿,毆,臤,般,酘,羖
53,祠,輌,輛,輌,蛃,鮞
54,姚,誂,娩,跳,銚,錵
55,麌,實,簀,簣,竇,賓
56,剣,祭,判,殆,剣,制
57,栁,抑,栁,𦀌,御,袽
58,魳,韴,魳,魳,魲,飼
59,宍,杰,宗,末,未,栄
60,𦹀,薜,彗,慈,鎣,鎣
61,𧮾,駱,酹,駱,発,発
62,伃,羿,俘,浮,俘,浮
63,侅,挍,伎,侒,按,佽
64,瘛,𢰝,瘛,堪,癱,癱
65,陟,啼,陟,睫,啼,啼
66,譌,詭,嬀,蝓,諗,諗
67,騱,靜,驍,騱,黟,靜
68,偣,偕,偣,奟,首,僣
69,譓,蹢,鏥,䝤,譓,褘
70,沮,伹,徂,伹,徂,沍
71,蒯,窕,眤,阨,昵,聦
72,槍,艙,蹌,崤,槍,艙
73,殂,殂,爼,生,祖,祖
74,釜,鬯,爸,登,釡,鬯
75,㒵,步,広,亥,广,広
76,羚,侈,侈,佟,佟,拶
77,蓂,粟,葵,葈,獎,奬
78,祐,物,圴,扚,韵,鈎
79,ご,た,亼,と,と,コ
80,雲,砉,霑,砉,霑,耑
