label,c0,c1,c2,c3,c4,c5
0,語,餾,脂,諧,諂,謟
1,屩,肩,署,暑,署,署
2,坡,玻,陂,攲,敧,被
3,璜,煐,僙,煐,瑛,磺
4,愓,煬,愓,煬,愓,煬
5,蜷,螈,蟋,蟟,蟪,蝘
6,䅏,䅏,糒,糒,獼,糊
7,裒,喪,衰,衷,衷,軣
8,鼺,髜,諏,罧,諷,罧
9,袱,禄,掾,禄,緑,緣
10,釋,鐸,鐸,鱪,艚,𦪷
11,武,魷,酖,酖,魷,魫
12,浜,睘,裊,睘,裊,晨
13,窺,殛,歿,殪,歿,殁
14,坻,忯,彽,抵,柢,低
15,寄,㟢,嵜,寄,萕,㟢
16,迪,洎,迪,洎,迪,迱
17,鑣,鑣,罏,罏,鐻,讎
18,さ,き,き,さ,ケ,寸
19,莽,葬,穽,筭,穽,穽
20,惛,惛,僊,僖,憘,憘
21,騙,騸,騾,驅,驌,驟
22,墓,基,墓,茎,基,茎
23,悴,怦,悖,悴,怦,悴
24,曛,嚈,囉,嚈,嘱,囉
25,瀞,游,瀞,澣,澣,塀
26,勍,劭,励,勈,勐,勒
27,籘,蔯,籐,蔯,璇,籐
28,伖,拔,攷,似,似,双
29,慙,恝,想,愬,慙,悊
30,季,秊,季,挙,斈,莩
31,疌,辵,走,定,虍,甪
32,鬪,鬫,鬨,鬩,鬪,鬭
33,載,戴,裁,截,戡,戴
34,埦,埦,琬,涴,腕,捥
35,咏,咊,咏,咊,咏,啾
36,拠,鋌,蜒,蜓,鋋,鋌
37,浚,岌,浚,涘,岌,浚
38,弉,异,弇,彜,彝,异
39,訖,乾,紇,総,諗,諗
40,窗,窗,茼,筒,直,箇
41,蕚,蕚,幕,琴,羃,蕚
42,遮,還,還,邐,遭,遵
43,尢,尤,冘,尢,尤,冘
44,設,鋀,鋀,鯘,靉,餧
45,㒵,㒵,隶,耒,東,柬
46,蜜,蛍,蛮,蜚,螢,蚤
47,餺,膊,餺,髆,縛,膊
48,梠,朽,秘,杻,杔,宿
49,矤,肤,胅,跂,鈇,駃
50,齣,靤,衲,晌,齣,靤
51,敖,敕,敖,散,敫,數
52,渕,冽,冽,瀏,洌,湗
53,划,刎,蚓,矧,矧,蚓
54,櫱,聚,繋,緊,櫽,橤
55,慥,協,慆,慍,悩,慍
56,鯳,鰄,贓,鰄,贓,鯳
57,逾,逾,拯,塗,邃,逡
58,く,ー,ヿ,ぐ,ー,ヿ
59,警,誓,諐,謇,謦,警
60,矞,矞,茼,筒,暠,髷
61,觱,粦,絳,緙,舜,舜
62,化,七,七,色,包,色
63,憬,懆,價,憔,懦,愫
64,櫻,楆,櫻,楆,櫻,𢅻
65,峋,岣,岣,峋,峋,啊
66,縦,殱,殲,繊,纎,纖
67,噶,喝,嗝,暘,喎,暍
68,津,愺,愺,燁,燁,䋖
69,蠋,蠋,蠅,蝘,蠅,蠅
70,餝,鰙,鰖,齰,蛕,賄
71,躪,剛,嗣,馴,刪,嗣
72,沫,涑,沫,洙,涑,淶
73,築,蘂,藜,葈,藜,蔾
74,噐,盨,琵,蓋,監,盌
75,岟,峡,峽,映,昳,玞
76,程,裎,裎,程,稑,猩
77,魋,隧,驄,兤,兤,魋
78,濰,灘,灘,儺,攤,儺
79,癲,蔟,蔟,葹,簇,簇
80,豬,䐗,豬,䐗,蒔,藉
81,均,均,汭,洵,洶,泡
82,烤,榷,楮,褚,袴,褚
83,窶,蔞,簍,燮,獎,奬
84,䌫,躅,躅,鑭,饠,鑼
85,帝,芾,齋,齋,奟,有
86,穩,穗,穩,檽,檽,孺
87,P,R,a,c,e,g
88,据,掘,掘,裾,裾,榒
89,綫,賤,踐,餞,牋,綫
90,什,什,仃,仃,汀,守
91,噂,噲,嚕,唁,噌,噲
92,憼,憼,愁,慼,憨,愍
93,飼,啊,舸,軻,飼,酬
94,撹,挘,携,摛,撟,擣
95,珸,珸,碭,礎,磻,磻
96,輙,酛,幟,轣,輟,幭
97,胙,詳,鉾,祥,詳,鉾
98,昼,弖,弖,塁,坙,丒
99,匜,匠,区,医,叵,匚
100,蜋,蜋,粮,踉,娘,姒
101,鹼,鹻,醶,驗,殮,殮
102,扆,扆,簔,蘘,冢,蒙
103,嫁,姝,殊,蛛,妹,妺
104,夊,攵,夂,夊,攵,夂
105,宇,甼,学,宇,甼,字
106,醫,葚,薔,薔,蕃,醤
107,醅,駱,酪,酪,喆,喆
108,銛,銛,鱠,鮨,躳,躳
109,娩,𨺉,睨,皖,吮,院
110,餅,餠,駢,胼,鉼,餅
111,嬗,麺,贈,贈,鱧,膻
112,陵,陵,噯,曖,皧,瞹
113,蝟,蛞,蛃,蛹,蜅,蜻
114,復,役,投,役,投,復
115,鏢,饠,爾,鑲,鐚,囅
116,柙,枰,秤,柈,柈,拜
117,邱,䢵,邱,邱,邙,䢵
118,猾,猗,猗,猾,棈,棈
119,笮,不,不,竿,下,笇
120,邦,邦,郊,郊,郯,郟
121,竴,溽,磚,簿,塼,竴
122,睾,篳,舉,摹,皋,睾
123,瘈,瘼,痹,㿉,痍,痹
124,蘊,藝,氤,氣,氤,湛
125,䜌,鑭,繝,硎,跚,跚
126,隣,瞬,璘,璘,躋,躋
127,抑,抑,仙,汕,汨,伺
128,貝,肙,貞,貞,買,賁
129,略,略,暙,嶒,罐,陏
130,唏,峪,昭,略,峪,咯
131,憩,憇,愨,慇,慫,憼
132,峩,嶺,嶽,套,峩,嶽
133,鷠,鴆,鴗,鴆,鶽,鴨
134,槍,搶,搶,措,滄,捨
135,御,椡,椥,倁,御,椡
136,俊,俊,俵,侅,伎,侅
137,㐂,㐂,丘,彑,彑,互
138,痤,痊,痙,瘖,瘖,症
139,丿,亻,7,ァ,ィ,R
140,蚇,蚇,釈,鈬,訳,釈
141,飰,釥,飰,計,針,竍
142,藊,藊,朞,朞,蘒,薐
143,猒,献,猷,獣,獸,默
144,顫,顫,顯,顋,顫,顴
145,柿,姉,抻,柛,珅,神
146,紾,殄,紾,衫,釤,髟
147,菟,菟,冤,寃,冤,寃
148,堧,墺,瑍,璞,璵,墺
149,婪,婪,婪,葼,麦,安
150,繡,糂,福,韁,繍,縕
151,濂,濊,凄,漲,淒,濠
152,爺,範,𪗱,鈕,蓜,蓜
153,萃,宰,幸,窂,宰,幸
154,垤,堙,堹,堙,埵,珵
155,壅,壓,堕,墜,堅,墾
156,楺,棟,楾,様,棣,楾
157,効,劼,劾,勍,劫,効
158,経,鞚,経,軽,輕,鞚
159,胼,拼,拼,𥞩,倂,洴
160,I,や,ナ,丿,仐,十
161,来,朱,来,来,耒,來
162,廽,廼,翅,麭,麪,麪
163,仚,岔,叴,台,合,令
164,畠,畐,鳥,咼,鳥,咼
165,蜑,蚤,蛩,蜃,蜑,螫
166,翳,翡,覉,覇,蒻,翦
167,膂,菁,腎,骨,曺,胥
168,清,壻,滑,湑,渭,渭
169,呱,嘸,嘸,呱,嗤,颯
170,韘,膁,謙,豏,賺,鎌
171,峨,硪,蛾,誐,餓,娥
172,珖,冼,洗,珖,冼,珖
173,恿,悪,恿,慁,急,患
174,結,桔,牿,姞,捁,桔
175,樋,椪,楹,掽,椪,樚
176,貸,質,質,鬘,簍,貧
177,鶲,鶵,鸚,䴇,鵼,飜
178,課,課,腺,原,脈,膘
179,絶,銫,絶,鉇,鉇,鉨
180,惰,惰,偣,偣,偦,情
181,真,責,寘,費,篔,貫
182,臻,深,湈,深,擁,漆
183,グ,ゴ,ゾ,ヅ,ブ,プ
184,死,羗,芫,苑,茺,羌
185,裄,裄,桁,裄,格,楉
186,犛,翆,ー,牮,犁,犂
187,実,尖,爽,突,臾,突
188,覈,罭,箴,籖,最,蕺
189,触,骸,舷,触,骯,舷
190,隱,啜,隰,啜,嚶,暻
191,灼,的,約,豹,釣,鈞
192,切,司,司,珂,河,坷
193,籯,羸,蠃,驘,嬴,羸
194,湌,澁,渚,洩,浪,湌
195,找,找,杙,桟,牧,飱
196,眠,睚,氓,眠,睚,氓
197,D,ユ,コ,ヨ,コ,ニ
198,c,e,g,n,o,q
199,栓,扯,杠,柾,祉,扛
200,卅,褂,卅,褂,硏,研
201,鞍,鞁,鞍,鞍,斅,皸
202,泭,附,咐,坿,坿,玵
203,苽,㐬,笊,笊,窊,荒
204,岻,岈,蚯,蚯,岠,岨
205,菴,篭,罨,電,電,𥧄
206,酵,薛,薜,薜,餘,駼
207,緇,𨪙,鍤,銿,鋪,鋪
208,蘚,錞,焞,焞,簳,舁
209,彳,氵,犭,礻,衤,豸
210,遙,迍,迍,迨,适,迊
211,鴝,鵃,鵑,鵤,鵲,鶄
212,擕,擕,橋,撟,擕,橋
213,諭,諭,腧,諭,腧,蝓
214,木,ボ,ホ,ポ,ボ,ポ
215,瀨,瀬,瀬,灊,渢,𤂖
216,疆,腥,膰,膣,膰,臛
217,昕,听,昕,听,昕,坼
218,羯,鞨,鞨,羯,綯,鞫
219,甁,甁,掫,棷,赧,假
220,鎮,饟,鑊,鍰,鰀,鰒
221,瀚,瀚,湖,瀨,澔,濔
222,巣,槀,臬,集,喿,巢
223,風,嵐,颪,嵐,鳳,颪
224,冷,彾,怜,柃,泠,伶
225,脩,條,絛,翛,倏,倐
226,殷,般,骰,殷,殺,殽
227,賛,贄,贅,贒,賚,魘
228,㗅,晭,啁,晭,哬,哬
229,民,及,反,尺,氐,㓇
230,狛,衲,袙,拍,袙,拈
231,徉,烊,祥,佯,徉,烊
232,鞜,鞜,帾,軛,輶,繪
233,矛,予,子,孑,孒,子
234,依,佉,依,佉,怯,法
235,歪,聖,堊,星,昰,罣
236,彤,彩,彭,彰,影,形
237,刁,刁,さ,で,を,で
238,勃,勌,勘,勣,勤,勧
239,損,樓,箯,徯,篌,積
240,矬,絰,輊,銓,輊,銍
241,お,し,し,じ,む,它
242,枛,抓,抓,狐,柧,孤
243,罃,畚,畚,菩,髻,昔
244,艹,艹,艹,亠,冖,亠
245,溧,倮,傈,僳,慄,㒒
246,怕,怙,泊,衲,伯,怕
247,疰,痕,痮,瘈,痕,痩
248,殫,嬋,殫,彈,殫,禪
249,丑,岦,五,五,韭,益
250,恩,忢,恁,悉,忢,恁
251,直,筐,筺,匤,匯,筐
252,龜,罷,罷,靇,龕,龕
253,潭,筆,簞,葷,覃,鞏
254,瘛,瘜,癋,癒,㽷,痆
255,シ,ン,ソ,ツ,ノ,フ
256,辟,酔,醉,騂,辞,辟
257,傪,儚,慘,摎,修,傪
258,代,伀,伏,伐,佤,仏
259,由,由,四,凹,凹,四
260,八,凢,几,凡,凢,几
261,肥,犯,肥,犯,祀,記
262,僭,借,僣,偕,僭,俗
263,韃,継,鍵,謎,鏈,鰱
264,厤,庥,麻,屛,屏,厤
265,掌,拿,掌,拿,韋,韋
266,懶,悕,慚,懶,懶,慚
267,倔,倨,倔,倨,偕,僑
268,從,從,忳,忳,能,捉
269,竺,苙,苙,箜,筌,整
270,㙊,垠,㙊,埌,坂,珉
271,胝,祇,祗,詆,祗,詆
272,軔,釖,韌,砌,紉,訒
273,擾,㩳,複,捩,椣,換
274,謠,旙,謡,謡,𧦅,譆
275,管,菅,晉,簪,蓄,暼
276,蚰,岵,岶,岾,帕,帖
277,榘,槃,槩,檗,桀,榘
278,甤,尨,埏,蕤,埏,甤
279,閲,閍,関,閧,開,関
280,珧,珧,朓,珧,眺,朓
281,兗,兗,壳,鳧,壳,堯
282,饍,鎋,饍,饍,繕,鐳
283,唼,崚,咳,咬,晈,𤰖
284,啌,啌,崆,崆,喧,喧
285,珹,城,域,城,域,域
286,頖,頖,領,傾,頒,領
287,㳃,涍,涔,淨,淬,渟
288,鴻,鵙,鴎,鵙,鴫,鴎
289,寡,暮,募,暮,簒,募
290,底,廢,麼,麼,廉,廃
291,讔,羈,羂,覊,羇,羈
292,㽲,㽲,滓,瘁,倖,涬
293,扤,杌,扤,杌,祝,祝
294,村,材,村,苻,行,狩
295,腴,諛,訣,腴,諛,胦
296,棍,㭷,幌,梘,視,梘
297,贔,贔,贔,晶,畾,皛
298,妲,炟,炬,姮,炟,炬
299,誂,跳,銚,眺,銚,祧
300,絽,紃,鈿,瓢,絀,絀
301,湊,淩,湊,浸,淏,溴
302,劍,劓,劓,剌,剕,劓
303,真,巽,異,異,算,算
304,尣,兊,兌,兌,介,允
305,捄,俅,絿,球,絿,梂
306,鶩,鵞,鷙,騖,鴦,鶖
307,譓,聦,聰,聡,䏰,腮
308,奔,弈,竎,奔,弈,弉
309,玜,脍,魵,舩,魵,蚣
310,枹,柮,杝,扡,杝,枻
311,搢,搢,搐,搐,楂,擡
312,種,橿,欞,擅,橿,檀
313,蟖,蜴,蠣,蝙,蠣,蝙
314,敕,教,敦,数,致,放
315,匆,匇,幻,釗,勿,匆
316,閾,闘,闌,闢,閨,閾
317,私,弘,弘,私,畆,畆
318,扎,札,牝,礼,糺,孔
319,綰,鞘,綰,靹,靹,鞘
320,畯,睽,峻,晙,睽,険
321,諮,謠,詔,碚,詰,詰
322,弡,胆,祖,跙,鉅,祖
323,憑,憙,憲,悪,愙,憙
324,は,ば,ぱ,ほ,ぼ,ぽ
325,癢,㿉,癭,瘻,癭,癢
326,純,純,砭,陡,靛,碇
327,吩,吤,吤,吩,畍,畍
328,㤚,烙,烙,恪,悋,恪
329,粽,糘,榦,糀,糅,轗
330,殉,侚,徇,怐,恂,恟
331,茗,苳,茗,苳,茗,芭
332,玄,丈,𠀋,支,攴,支
333,鰣,鯑,龢,穌,鯑,穌
334,紿,駘,鉿,詒,跆,鉛
335,稼,裱,裱,裱,橇,㯃
336,卆,半,卒,夲,牢,辛
337,左,立,血,皿,皿,血
338,槧,絮,紮,輿,與,輿
339,桴,梣,椁,牸,稃,稕
340,頁,旻,妟,昃,畏,旲
341,孼,掣,犖,孯,孽,擎
342,呶,喩,嗷,噉,噭,璥
343,廚,家,窮,窳,枩,枩
344,弁,外,弁,林,狆,丼
345,笻,筇,筎,節,茄,節
346,搨,楊,揚,楊,榻,揚
347,佰,侶,但,但,恒,怛
348,欗,攔,欄,攔,橢,橢
349,戓,或,咸,彧,或,彧
350,猜,晴,靖,靖,崝,睛
351,徃,住,住,徃,性,牲
352,呷,阿,阿,眄,呷,陶
353,ゼ,ぜ,ぜ,ゼ,ゼ,せ
354,孖,筕,荇,筕,荇,幵
355,パ,ベ,べ,れ,バ,パ
356,悶,閑,閠,問,閃,閉
357,棅,橖,棅,𣜿,楺,揉
358,嫖,幖,慓,摽,標,熛
359,愎,愑,惔,愑,懊,悞
360,踪,錝,鍄,鯨,鯮,黥
361,泅,洄,洒,涸,淵,酒
362,蠎,蟒,蠎,蟒,蠎,蚸
363,烜,忋,把,圯,玘,圯
364,郄,郅,郅,卸,郢,郢
365,幬,躊,鑄,鑄,禱,禱
366,畩,呟,呿,昡,眩,呍
367,瀹,偂,偸,愉,淪,渝
368,棕,倧,徐,悰,掠,棕
369,疒,疒,尸,广,厂,尸
370,枇,秕,秕,批,枇,秕
371,陁,呴,呴,昀,咆,珣
372,鱇,踈,觫,餗,疎,觫
373,貳,然,煞,熬,熱,然
374,滞,滯,滞,滯,浄,芦
375,銖,跡,跣,銑,詵,跣
376,駄,粏,軑,駄,軑,駄
377,腓,腓,腓,琲,誹,誹
378,阯,肚,赴,壯,肚,社
379,習,琶,罌,雪,替,朁
380,弓,丐,弓,丏,丐,弓
381,も,ち,も,ん,ぢ,ゃ
382,縒,蹉,貔,靆,靆,楚
383,サ,ト,ド,M,Q,U
384,饗,甍,瓮,饕,甓,餮
385,蔀,邯,卲,邳,邵,卲
386,寂,寂,臤,菽,臤,菽
387,踢,踶,禔,膈,膈,睼
388,洀,濼,儕,擠,淶,洀
389,県,県,県,素,素,累
390,坐,当,空,笙,至,至
391,歘,歛,歙,歡,欲,欺
392,䂓,規,規,蜆,蜆,錕
393,碓,維,脽,誰,錐,雄
394,柆,拉,粒,砬,柆,拉
395,崔,奎,杳,沓,奆,奎
396,衾,袞,褻,宸,褜,袞
397,幄,帽,暢,暢,幅,幄
398,刔,列,刋,列,刋,列
399,溝,凊,渮,凊,満,漕
400,磧,礪,磎,蘹,碝,礇
401,詢,詢,胊,胸,狗,胊
402,霤,霍,霤,鬐,霻,薑
403,躇,贈,鱠,鱈,鱚,鰭
404,飯,鈑,魬,鈑,飯,魬
405,那,郡,那,郇,郁,郇
406,禰,幬,罅,轗,罅,幉
407,戰,戴,我,戰,戟,戦
408,朙,胡,朗,朗,朗,朗
409,咄,昢,咄,昢,朏,昢
410,雋,萵,㝢,寓,窩,㝢
411,授,鰻,饅,鰻,鏝,鏝
412,縫,糎,糎,稙,糖,植
413,曼,鬢,皨,璺,蜃,臺
414,枦,枦,粐,䋆,䡎,沪
415,虐,虛,虎,虐,虛,虎
416,䑶,綪,靕,錆,綪,舖
417,栁,槨,柳,榔,槨,柳
418,囷,圀,圀,囮,囹,囨
419,鞐,鞐,桛,裃,桛,裃
420,扖,朳,扒,扖,朳,杦
421,颸,颺,飂,飃,颸,颺
422,贉,諢,諢,賱,澤,蹕
423,廿,甘,甘,谷,廿,甘
424,賂,賰,畴,瑃,陦,陦
425,酲,猳,煆,暇,暇,瑕
426,湲,瀀,浸,澐,湊,滇
427,茝,苣,苢,苣,首,苜
428,味,咮,昧,味,咮,昧
429,給,胎,詒,跆,粭,胎
430,饒,繞,鐃,鏡,鐃,鐃
431,唄,嗩,噴,巑,瞋,瞔
432,亰,京,亰,京,亰,奈
433,頰,顚,顛,顛,顚,頳
434,墲,壊,埭,壌,壚,壜
435,耔,皯,粁,耔,軒,釬
436,酡,駝,鴕,舵,酡,駝
437,畄,鹵,囟,囟,鹵,山
438,危,危,勊,勉,䰠,勉
439,橙,澄,燈,鐙,隥,瞪
440,狠,猥,猽,猽,狽,狠
441,蠍,歟,樕,樕,樕,嫰
442,醺,艤,醨,醗,醸,醢
443,臁,廐,廐,廐,讞,廨
444,璅,㗚,瑓,璅,璨,環
445,鄭,酇,酇,鄰,鄭,鄖
446,棏,得,棏,梍,樽,祷
447,狀,吠,妝,犾,狄,犾
448,究,咒,窕,咒,窕,咒
449,蔦,蔦,鴬,嶌,鴬,鳶
450,玳,毗,砒,毗,砒,粃
451,掻,搔,檀,襢,擅,欞
452,豁,駱,貂,貉,貉,駱
453,槐,媿,槐,磈,魄,魄
454,玟,玟,垓,攻,玫,以
455,螟,倶,幎,惧,椇,榠
456,汎,汧,泝,沂,坼,汎
457,嗹,徤,揵,楗,漣,燵
458,竪,鋻,鋻,竪,鍳,鑒
459,梪,指,柤,袒,担,杞
460,我,䒾,装,裝,芸,装
461,氈,鯀,縣,穌,酥,酥
462,渾,懌,褌,惲,懌,揮
463,迂,迁,迂,迕,迁,迕
464,棔,稭,権,楢,樰,檜
465,熖,焫,焰,熖,焰,熖
466,核,桉,枝,按,枝,桉
467,悒,俋,悒,愠,俋,悒
468,埣,𡉻,啐,砕,砕,碎
469,衘,衙,衛,衝,衞,衟
470,勢,㔟,劈,努,勞,勢
471,韑,趣,魎,越,趕,趨
472,虬,乢,乢,虬,虬,乢
473,坵,垣,坥,坦,坵,垣
474,亭,竽,芋,芓,芧,苧
475,序,印,叩,邛,卬,印
476,辶,辷,廴,辶,辷,廴
477,逸,逸,迭,逃,逸,逸
478,曈,瞠,瞳,噇,曈,瞳
479,否,芳,若,苫,苗,苦
480,圓,圖,圈,圏,圓,圖
481,痔,痔,帯,帶,帯,拵
482,毟,氂,氅,耄,髦,尾
483,団,固,固,囲,固,西
484,郿,鄙,鄢,鄙,鄢,郿
485,哱,嚀,哮,哱,哱,嚀
486,阮,阮,沄,玩,既,玩
487,襅,擇,懌,磹,襅,樿
488,揖,揖,摂,楫,梹,緝
489,喃,晡,吨,晡,吨,哺
490,ス,ズ,ヹ,ズ,ゾ,ダ
491,錚,胛,脖,脬,評,胖
492,削,剖,剬,刳,制,剖
493,a,e,g,n,r,s
494,諜,牒,諜,牒,諜,榺
495,昈,䡎,沪,舮,鈩,馿
496,弯,育,弯,育,筩,肙
497,喰,隘,隘,陰,啽,隂
498,樞,樞,𣜜,椏,榧,榧
499,単,準,隼,凖,単,準
500,㹠,猹,猟,猱,猱,猿
501,髐,鵺,鶻,鶺,鶻,鶺
502,鷯,鷄,鷦,鷄,鷁,鸇
503,螧,蟶,蟾,蝗,螧,螳
504,釚,釻,釻,軌,釻,軌
505,苡,菝,孩,茲,茲,孜
506,錫,絹,焆,蜎,輻,鋗
507,鸝,鸝,鸙,鸙,鶸,鸝
508,概,慨,慨,概,慨,慨
509,蛑,蜉,蚌,蚱,蛑,蚌
510,粧,駐,賍,註,鮏,粧
511,佛,怫,悌,梯,涕,俤
512,威,戚,威,戚,蔵,蔵
513,髭,菎,蓖,蓖,茈,罠
514,淚,涙,譲,議,譲,腰
515,剡,剣,刻,剡,剣,剡
516,誷,謜,跼,𨂊,賙,調
517,如,如,如,知,州,夘
518,苾,惹,蔥,蔥,蕙,蕙
519,彦,彦,寥,爹,翏,蓼
520,禿,珡,禿,禿,秂,秂
521,𥇍,皞,皡,暭,皡,暭
522,遺,遣,遺,遣,透,遺
523,桧,松,桧,桧,絵,穏
524,軼,鉃,帙,蚑,蚨,蚑
525,齭,嘶,斸,斸,晣,晣
526,男,髣,旉,男,隽,昱
527,胻,酎,耐,酎,胕,跗
528,汢,江,沚,址,汁,汕
529,仇,汍,氿,汍,仇,汰
530,冣,冣,㝡,扱,扳,扳
531,悦,悦,挽,悅,悗,悦
532,展,屟,屡,屣,戻,戾
533,汝,汝,炆,泬,渋,渋
534,獗,獗,獅,輀,蹶,錣
535,襭,𣠽,欟,嬾,嬾,襯
536,䗥,螇,螋,螻,蠖,蜈
537,穝,楣,撮,樶,𣘸,椴
538,舘,錧,兢,餽,魏,餽
539,秋,杖,秋,秩,杁,𣏤
540,哄,晎,哄,拱,洪,垬
541,魴,舫,鈁,舫,鈁,魴
542,ヰ,ヸ,ヰ,冲,丬,4
